customer_uuid,product_code,activation_date,status,balance,credit_limit,interest_rate
185a7869-282e-43e2-a5e5-065d92f1eb33,DI001,2024-11-20,Active,,,1.32
185a7869-282e-43e2-a5e5-065d92f1eb33,DS001,2024-01-26,Active,32020.12,,4.03
d94e499e-8c7c-47b9-b53c-de2c29c19503,DI001,2025-07-22,Active,,,3.62
d94e499e-8c7c-47b9-b53c-de2c29c19503,DIN001,2024-05-28,Active,,,2.62
d94e499e-8c7c-47b9-b53c-de2c29c19503,DL002,2024-02-11,Active,,114619.9,4.98
390c1784-58f2-4b67-9723-c72d6ee9f14e,DIN002,2025-09-18,Active,,,1.64
390c1784-58f2-4b67-9723-c72d6ee9f14e,DL002,2024-10-22,Active,,189577.99,3.61
390c1784-58f2-4b67-9723-c72d6ee9f14e,DI001,2025-05-03,Active,,,2.13
0104a086-1238-4cbe-8f2f-ceded41c01f3,DI002,2024-04-05,Active,,,3.3
0104a086-1238-4cbe-8f2f-ceded41c01f3,DL001,2024-03-17,Active,,199443.29,4.13
0104a086-1238-4cbe-8f2f-ceded41c01f3,DIN001,2025-10-11,Active,,,3.93
cabbda5a-98e5-4947-8145-4d899170dfe6,DIN001,2025-03-01,Active,,,1.85
cf6354e0-4f2e-4521-bdd4-6b9196ecadbe,DS001,2024-09-29,Active,324377.21,,1.79
cf6354e0-4f2e-4521-bdd4-6b9196ecadbe,DI002,2025-05-23,Inactive,,,2.13
e465aed7-207a-41d4-a888-c573f3fd80f2,DS001,2024-06-16,Active,79074.01,,0.8
e465aed7-207a-41d4-a888-c573f3fd80f2,DL001,2024-07-02,Active,,154919.26,2.78
e465aed7-207a-41d4-a888-c573f3fd80f2,DI002,2025-01-11,Inactive,,,2.98
e5c052b5-b439-4194-9b31-babd70833311,DL001,2023-12-17,Inactive,,204616.53,4.67
90b2ee24-ce56-4b16-9d5b-ab3798f9b87c,DIN002,2024-10-01,Inactive,,,2.39
90b2ee24-ce56-4b16-9d5b-ab3798f9b87c,DS002,2025-03-04,Active,447025.12,,4.21
