ticket_number,customer_uuid,product_code,category_code,root_cause_code,ticket_status,priority,subject,created_date,channel,app_version,resolved_date,resolution_time_hours,customer_satisfaction_score
TKT-001000,47ad3248-be37-46eb-872a-d504f4a2544d,DI001,TRANSFER,RC008,Resolved,Medium,Issue with dLoan Flexi,2025-07-20,Web,v1.1,2025-07-20,64.69460613111022,2.0
TKT-001001,2f79a459-3651-4e0a-8ef1-7f3175f632b0,DIN002,ACCOUNT,RC003,Resolved,Medium,Issue with dSave Plus,2025-07-16,Web,v1.1,2025-07-17,37.52429745508693,4.0
TKT-001002,bf45fe13-0283-40b3-abd1-e66d08777eeb,DS001,APP_CRASH,RC004,Closed,Medium,Issue with dProtect Plus,2025-07-16,Phone,v1.1,2025-07-16,12.129822183724214,1.0
TKT-001003,ce68210c-1bdd-4bea-aec2-1c06f99773b2,DS001,LOAN,RC003,Resolved,Medium,Issue with dLoan Flexi,2025-07-20,Phone,v1.1,2025-07-20,69.53820988121727,1.0
TKT-001004,1f27eecc-6862-45f8-bb24-6dce572e6fa3,DI001,APP_CRASH,RC008,Closed,Low,Issue with dInvest Pro,2025-07-17,App,v1.1,2025-07-17,9.457033168031417,3.0
TKT-001005,665e62a0-76f9-4145-9bf8-ac71ca3dc6e3,DL002,ACCOUNT,RC007,Resolved,Medium,Issue with dLoan Flexi,2025-07-24,Email,v1.1,2025-07-25,36.80435405918008,5.0
TKT-001006,f1b09e42-8d7c-4bc0-bb2c-84f4ae60ff5a,DIN002,TRANSFER,RC002,Closed,Medium,Issue with dSave Premium,2025-07-19,Web,v1.1,2025-07-20,21.50362532804922,3.0
TKT-001007,0ef5c994-86ee-44cb-a4dd-0c9f8d9c9189,DIN001,ACCOUNT,RC004,Resolved,Medium,Issue with dInvest Pro,2025-08-06,Phone,v1.1,2025-08-06,39.22613917248556,1.0
TKT-001008,4a7d8752-ab8f-4ef2-a5e2-5aa0141ad213,DIN001,ACCOUNT,RC007,Resolved,Medium,Issue with dInvest Auto,2025-08-03,Web,v1.1,2025-08-05,58.44803873434788,5.0
TKT-001009,500c62d3-8040-431d-b804-11d3e86a8456,DS002,ACCOUNT,RC006,Closed,Medium,Issue with dProtect Plus,2025-07-19,Email,v1.1,2025-07-19,54.56646609284797,3.0
TKT-001010,ff2868c3-c210-435d-89fa-ba0bb324ffc8,DI001,LOGIN,RC002,Closed,Medium,Issue with dInvest Auto,2025-07-23,Email,v1.1,2025-07-25,25.765712908192732,2.0
TKT-001011,7340bd88-33eb-46ce-8cd2-dd7aff85b302,DI001,TRANSFER,RC007,Closed,Medium,Issue with dLoan Flexi,2025-08-03,Phone,v1.1,2025-08-03,14.821785928422857,2.0
TKT-001012,d759556a-72a4-4a71-a078-7d7d740796bb,DL001,SAVING,RC006,Closed,Medium,Issue with dInvest Pro,2025-08-04,Email,v1.1,2025-08-05,8.264491978495471,5.0
TKT-001013,98a494d1-670a-42c8-b872-76f0d26fdb7e,DI001,ACCOUNT,RC004,Resolved,Medium,Issue with dProtect Basic,2025-07-28,Email,v1.1,2025-07-30,70.60341853185723,3.0
TKT-001014,cae40b95-1e3d-408e-acf2-dd0fb604849b,DL001,APP_CRASH,RC007,Closed,Medium,Issue with dLoan Flexi,2025-08-06,Web,v1.1,2025-08-07,18.964261226206798,3.0
TKT-001015,c07da5a8-066e-4d03-a131-c2e90af5ca88,DL002,TRANSFER,RC007,Closed,Medium,Issue with dLoan Quick,2025-07-23,App,v1.1,2025-07-24,46.44689595752898,2.0
TKT-001016,4518fac7-af2c-43a6-ac5f-8a1dece9597f,DL001,TRANSFER,RC004,Open,Low,Issue with dSave Premium,2025-08-04,App,v1.1,,,
TKT-001017,dc2ab617-82bd-4c03-ae0b-3048a7f25d83,DI001,SAVING,RC007,Resolved,Low,Issue with dProtect Basic,2025-08-03,Email,v1.1,2025-08-04,9.8776064122634,4.0
TKT-001018,d3ff7e55-42ec-4b8d-a700-ceeedcba09e8,DIN001,TRANSFER,RC002,Resolved,Low,Issue with dLoan Quick,2025-07-22,Email,v1.1,2025-07-24,67.85790747796443,1.0
TKT-001019,9545201e-6eca-40f5-a1b0-d81fb60c498a,DS002,APP_CRASH,RC008,In Progress,Medium,Issue with dProtect Plus,2025-08-03,Phone,v1.1,,,
TKT-001020,50985f06-4179-4c3e-a1f6-b634520dff08,DS002,TRANSFER,RC001,Open,Low,Issue with dInvest Auto,2025-07-30,Phone,v1.2,,,
TKT-001021,83d4ec66-6b54-477f-b619-ad976d04d346,DIN002,APP_CRASH,RC002,In Progress,High,Issue with dLoan Quick,2025-07-22,Web,v1.1,,,
TKT-001022,63d18504-fcb1-4281-ad53-a810fc01c46c,DI001,APP_CRASH,RC005,Open,High,Issue with dLoan Quick,2025-07-19,Phone,v1.1,,,
TKT-001023,2baeac24-5ffd-4a21-a26e-42be14a8ef79,DS001,TRANSFER,RC004,Open,Low,Issue with dInvest Pro,2025-08-04,Email,v1.1,,,
TKT-001024,5dc241a0-d7a1-43c2-8e63-0ebf2b46e30a,DS002,LOGIN,RC004,Open,Medium,Issue with dLoan Quick,2025-07-26,Phone,v1.1,,,
TKT-001025,1cd02af3-4470-45be-b303-b3342043fa4c,DI002,APP_CRASH,RC002,Closed,Medium,Issue with dProtect Plus,2025-07-17,Web,v1.1,2025-07-19,55.88878115520017,2.0
TKT-001026,4a0d7cd8-6fca-4dbf-adf2-7628caa2bc81,DS002,LOGIN,RC006,Closed,Medium,Issue with dSave Plus,2025-07-27,Phone,v1.1,2025-07-27,53.21834823368016,3.0
TKT-001027,d1a1bf5f-dafd-42f2-947f-e589071e2e17,DS001,PAYMENT,RC008,Resolved,Medium,Issue with dProtect Basic,2025-07-26,Phone,v1.1,2025-07-26,53.81085102780651,5.0
TKT-001028,7c05936d-645d-400e-9779-aa07c6651693,DI001,SAVING,RC006,Closed,Low,Issue with dProtect Basic,2025-07-29,App,v1.1,2025-07-31,51.84134488703398,4.0
TKT-001029,dde167ad-ccd3-4138-a987-b7083ee9bb38,DL001,LOGIN,RC005,Open,Medium,Issue with dProtect Basic,2025-08-04,App,v1.1,,,
TKT-001030,4c80a43a-6b8c-4e80-8f32-f911a47b9ecb,DS001,LOAN,RC004,Resolved,Medium,Issue with dLoan Flexi,2025-08-01,Phone,v1.1,2025-08-01,28.482014256201325,2.0
TKT-001031,b70e78b6-2086-422e-8beb-c8b299027d49,DIN002,LOGIN,RC002,Closed,Medium,Issue with dProtect Basic,2025-08-07,Web,v1.1,2025-08-09,20.533402432285033,3.0
TKT-001032,63754082-420d-4799-bffe-5b8b7ae32c9a,DS001,TRANSFER,RC008,Resolved,Medium,Issue with dInvest Auto,2025-07-16,Email,v1.1,2025-07-17,37.28390006724036,5.0
TKT-001033,d57ed63b-361c-4184-9dd9-541721c8ef69,DS001,LOGIN,RC006,Resolved,Medium,Issue with dInvest Pro,2025-07-18,Email,v1.1,2025-07-20,70.5402048165642,4.0
TKT-001034,3254b559-3431-4bfe-ba0e-910e14f0d559,DL001,APP_CRASH,RC006,Closed,Low,Issue with dLoan Flexi,2025-07-21,Web,v1.1,2025-07-21,16.727296448220766,4.0
TKT-001035,e8122732-7e12-4f9b-ac4b-b92f3d321357,DIN001,LOAN,RC004,Open,Low,Issue with dProtect Basic,2025-07-21,App,v1.1,,,
TKT-001036,2b3401f0-5e23-46a1-8d0d-2b336250663b,DL001,SAVING,RC008,Closed,Low,Issue with dLoan Flexi,2025-07-26,Email,v1.1,2025-07-28,14.778430760901513,5.0
TKT-001037,bd24365c-6ea5-4ff9-9fdf-ed6ce1bd18fd,DS002,ACCOUNT,RC004,Open,Medium,Issue with dSave Plus,2025-07-24,Email,v1.1,,,
TKT-001038,650f036f-20de-4852-8e5c-13264901094e,DL001,LOGIN,RC007,Resolved,Medium,Issue with dInvest Auto,2025-07-17,Phone,v1.1,2025-07-19,23.20250124140398,4.0
TKT-001039,b77b7f1d-e160-4ad9-9c93-678dc2cb3146,DIN001,PAYMENT,RC007,Closed,Medium,Issue with dSave Premium,2025-08-10,Web,v1.1,2025-08-10,57.43401211996703,2.0
TKT-001040,21f69c30-c293-4347-a127-52587e05d727,DI001,SAVING,RC004,In Progress,High,Issue with dProtect Plus,2025-07-20,Web,v1.1,,,
TKT-001041,1cccddd2-b184-4423-8927-87a82346e5f8,DIN002,TRANSFER,RC005,Closed,Low,Issue with dProtect Plus,2025-08-12,App,v1.1,2025-08-12,12.971944202259532,2.0
TKT-001042,5d687fc2-9c41-4264-b309-536259881717,DL002,LOAN,RC008,Resolved,Medium,Issue with dInvest Pro,2025-07-28,App,v1.1,2025-07-28,13.279038421250982,2.0
TKT-001043,47561773-d82c-4644-bdb3-fb972e7e3dcb,DS001,LOGIN,RC003,In Progress,Medium,Issue with dInvest Auto,2025-08-09,Phone,v1.1,,,
TKT-001044,f8802878-69fb-4763-8a9c-66f7cee4e512,DI002,LOGIN,RC005,Closed,Low,Issue with dInvest Auto,2025-08-02,App,v1.1,2025-08-02,70.71077075711156,5.0
TKT-001045,80cca1b5-d940-4b56-877f-a579ec804fbe,DIN001,TRANSFER,RC003,Resolved,Medium,Issue with dLoan Flexi,2025-08-09,Web,v1.1,2025-08-11,40.60907977100364,1.0
TKT-001046,8c61e59f-af19-4390-9c28-5022880e6ddd,DL002,PAYMENT,RC001,Closed,Low,Issue with dProtect Basic,2025-07-23,Email,v1.1,2025-07-24,68.01787625449559,4.0
TKT-001047,606a6f9d-6936-4ddb-a717-5926a7df0ff9,DIN002,LOAN,RC001,Resolved,Medium,Issue with dInvest Pro,2025-08-04,Email,v1.1,2025-08-04,65.29372327311071,3.0
TKT-001048,43375b68-b9d5-4741-aa05-0b5591e58b41,DS001,ACCOUNT,RC002,Closed,Medium,Issue with dInvest Auto,2025-08-03,Web,v1.1,2025-08-04,12.23538195750605,2.0
TKT-001049,2b2ce9f6-de1a-4d32-8f2f-a351557e2ca6,DI002,LOAN,RC008,Closed,Low,Issue with dLoan Flexi,2025-07-21,Web,v1.1,2025-07-21,5.094013443795942,1.0
TKT-001050,e5b0521f-0ef0-4748-a1db-337b217cd0c9,DS002,LOGIN,RC004,Resolved,Medium,Issue with dLoan Quick,2025-07-24,Email,v1.2,2025-07-25,71.75222968262833,4.0
TKT-001051,a78eee49-215a-4290-a66f-7262daad9bb9,DI001,APP_CRASH,RC001,Open,Medium,Issue with dLoan Flexi,2025-07-21,Phone,v1.1,,,
TKT-001052,611d2121-e6c3-425c-96de-c5d4d3ec169e,DL001,APP_CRASH,RC005,In Progress,Medium,Issue with dInvest Auto,2025-07-23,Phone,v1.1,,,
TKT-001053,47a4d646-dcc8-47cd-89f8-401f0e34524a,DI002,TRANSFER,RC008,Resolved,Low,Issue with dSave Plus,2025-07-26,Web,v1.1,2025-07-27,42.23866752413811,5.0
TKT-001054,94b38271-3748-4c59-8e5e-f01f01371bc6,DS001,TRANSFER,RC004,Open,Medium,Issue with dSave Premium,2025-08-03,App,v1.1,,,
TKT-001055,daacac35-f8ed-456b-9506-c7b916daa950,DIN002,SAVING,RC004,Closed,Low,Issue with dLoan Flexi,2025-07-31,Phone,v1.1,2025-07-31,2.512610266878039,2.0
TKT-001056,2a295962-a867-4e99-91c5-158a59b135b5,DS001,APP_CRASH,RC002,Closed,Medium,Issue with dSave Premium,2025-07-21,App,v1.2,2025-07-23,55.02455211261871,4.0
TKT-001057,b0fbb74e-ba90-4409-9452-37cf47018202,DS002,TRANSFER,RC005,Resolved,Low,Issue with dProtect Basic,2025-07-27,Email,v1.1,2025-07-27,49.819475122060915,4.0
TKT-001058,8c5e1692-09ee-4115-894f-c2086a70b434,DIN001,PAYMENT,RC008,Closed,Critical,Issue with dLoan Quick,2025-07-25,Email,v1.1,2025-07-26,57.2061858082083,5.0
TKT-001059,302e5ec2-148c-413f-a88e-2744a92662d2,DI001,LOGIN,RC001,Open,Critical,Issue with dLoan Quick,2025-08-09,Phone,v1.1,,,
TKT-001060,11a297d4-34a0-4d55-b2cc-592a4e387b96,DS001,ACCOUNT,RC003,Resolved,High,Issue with dProtect Basic,2025-07-30,Web,v1.1,2025-07-31,64.57086556031598,3.0
TKT-001061,e4c4e73c-4c46-4ad8-a6c6-4e18fdce9d79,DI001,TRANSFER,RC001,Closed,Low,Issue with dInvest Pro,2025-08-12,Phone,v1.1,2025-08-14,40.819178262503485,3.0
TKT-001062,c4c49038-1bdd-438e-b8d6-cde181529623,DI002,LOAN,RC005,Closed,Medium,Issue with dSave Plus,2025-08-10,Phone,v1.1,2025-08-10,58.22157402748843,3.0
