date,year,quarter,month,month_name,week,day_of_month,day_of_week,day_name,is_weekend,is_holiday
2023-01-01,2023,1,1,January,52,1,6,Sunday,True,False
2023-01-02,2023,1,1,January,1,2,0,Monday,False,False
2023-01-03,2023,1,1,January,1,3,1,Tuesday,False,False
2023-01-04,2023,1,1,January,1,4,2,Wednesday,False,False
2023-01-05,2023,1,1,January,1,5,3,Thursday,False,False
2023-01-06,2023,1,1,January,1,6,4,Friday,False,False
2023-01-07,2023,1,1,January,1,7,5,Saturday,True,False
2023-01-08,2023,1,1,January,1,8,6,Sunday,True,False
2023-01-09,2023,1,1,January,2,9,0,Monday,False,False
2023-01-10,2023,1,1,January,2,10,1,Tuesday,False,False
2023-01-11,2023,1,1,January,2,11,2,Wednesday,False,False
2023-01-12,2023,1,1,January,2,12,3,Thursday,False,False
2023-01-13,2023,1,1,January,2,13,4,Friday,False,False
2023-01-14,2023,1,1,January,2,14,5,Saturday,True,False
2023-01-15,2023,1,1,January,2,15,6,Sunday,True,False
2023-01-16,2023,1,1,January,3,16,0,Monday,False,False
2023-01-17,2023,1,1,January,3,17,1,Tuesday,False,False
2023-01-18,2023,1,1,January,3,18,2,Wednesday,False,False
2023-01-19,2023,1,1,January,3,19,3,Thursday,False,False
2023-01-20,2023,1,1,January,3,20,4,Friday,False,False
2023-01-21,2023,1,1,January,3,21,5,Saturday,True,False
2023-01-22,2023,1,1,January,3,22,6,Sunday,True,False
2023-01-23,2023,1,1,January,4,23,0,Monday,False,False
2023-01-24,2023,1,1,January,4,24,1,Tuesday,False,False
2023-01-25,2023,1,1,January,4,25,2,Wednesday,False,False
2023-01-26,2023,1,1,January,4,26,3,Thursday,False,False
2023-01-27,2023,1,1,January,4,27,4,Friday,False,False
2023-01-28,2023,1,1,January,4,28,5,Saturday,True,False
2023-01-29,2023,1,1,January,4,29,6,Sunday,True,False
2023-01-30,2023,1,1,January,5,30,0,Monday,False,False
2023-01-31,2023,1,1,January,5,31,1,Tuesday,False,False
2023-02-01,2023,1,2,February,5,1,2,Wednesday,False,False
2023-02-02,2023,1,2,February,5,2,3,Thursday,False,False
2023-02-03,2023,1,2,February,5,3,4,Friday,False,False
2023-02-04,2023,1,2,February,5,4,5,Saturday,True,False
2023-02-05,2023,1,2,February,5,5,6,Sunday,True,False
2023-02-06,2023,1,2,February,6,6,0,Monday,False,False
2023-02-07,2023,1,2,February,6,7,1,Tuesday,False,False
